,precision,recall,f1-score,support
building,0.9540638002773925,0.9143449595916632,0.9337822061738116,18808.0
greenhouse,0.8612334801762115,0.43061674008810574,0.5741556534508077,908.0
swimming_pool,0.8064269319051263,0.5784851811196488,0.6736976669862575,3644.0
impervious surface,0.9464925307940946,0.9010728542914171,0.9232244045843807,24048.0
pervious surface,0.7881121160270512,0.7965822524191888,0.7923245479306178,24285.0
bare soil,0.7480740862153745,0.7028025870033877,0.7247320365224296,6494.0
water,0.9331354475863146,0.7641038761673277,0.8402025601350401,7817.0
snow,0.8955479452054794,0.7972560975609756,0.8435483870967742,656.0
herbaceous vegetation,0.9086677569505598,0.9137254901960784,0.9111896051469661,39525.0
agricultural land,0.7495788022668096,0.7225215914962723,0.7358015410637099,13547.0
plowed land,0.5244252873563219,0.3498402555910543,0.4197010348792641,3130.0
vineyard,0.8615916955017301,0.8199780461031834,0.8402699662542182,2733.0
deciduous,0.9416183513990422,0.945982221997113,0.9437952423664363,39487.0
coniferous,0.7346264670742849,0.6733444988405051,0.7026518334285619,15524.0
brushwood,0.7767785625864706,0.7753670591655764,0.776072169073515,27516.0
clear cut,0.5106382978723404,0.1593625498007968,0.242914979757085,753.0
ligneous,0.25,0.01056338028169014,0.02027027027027027,284.0
mixed,0.07142857142857142,0.005714285714285714,0.010582010582010581,175.0
undefined,0.21978021978021978,0.13373453694416584,0.16628559551028893,2991.0
micro avg,0.8567468109293349,0.820725277090283,0.838349286188506,232325.0
macro avg,0.7095905447580734,0.5997578139143387,0.635536932169076,232325.0
weighted avg,0.8499130738267872,0.820725277090283,0.8334036224107493,232325.0
samples avg,0.8553175670483363,0.8179470636201405,0.8176354307236111,232325.0
